"","player","dob","active","dl","dltype","teamcode","salary","pos"
"1","Joel Hanrahan","Oct 6, 1981",0,1,"60-day","bos",7040000,"RP"
"2","Ryan Kalish","Mar 28, 1988",0,1,"60-day","bos",498000,"DNP"
"3","Shane Victorino","Nov 30, 1980",0,1,"15-day","bos",1.3e+07,"RF"
"4","Will Middlebrooks","Sep 9, 1988",0,1,"15-day","bos",498000,"3B"
"5","Alex Rodriguez","Jul 27, 1975",0,1,"60-day","nyy",2.9e+07,"DNP"
"6","Cesar Cabral","Feb 11, 1989",0,1,"60-day","nyy",490000,"DNP"
"7","Curtis Granderson","Mar 16, 1981",0,1,"15-day","nyy",1.5e+07,"DNP"
"8","Derek Jeter","Jun 26, 1974",0,1,"60-day","nyy",1.7e+07,"DNP"
"9","Eduardo Nunez","Jun 15, 1987",0,1,"15-day","nyy",533300,"SS"
"10","Francisco Cervelli","Mar 6, 1986",0,1,"60-day","nyy",515350,"C"
"11","Michael Pineda","Jan 18, 1989",0,1,"60-day","nyy",528475,"DNP"
"12","Brian Roberts","Oct 9, 1977",0,1,"60-day","bal",1e+07,"2B"
"13","Nolan Reimold","Oct 12, 1983",0,1,"15-day","bal",1e+06,"DH"
"14","Pedro Strop","Jun 13, 1985",0,1,"15-day","bal",502500,"RP"
"15","Tsuyoshi Wada","Feb 21, 1981",0,1,"60-day","bal",4200000,"DNP"
"16","Wei-Yin Chen","Jul 21, 1985",0,1,"15-day","bal",3655333,"SP"
"17","Wilson Betemit","Nov 2, 1981",0,1,"60-day","bal",2e+06,"DNP"
"18","Brandon Gomes","Jul 15, 1984",0,1,"15-day","tb",NA,NA
"19","David Price","Aug 26, 1985",0,1,"15-day","tb",10112500,"SP"
"20","Jeff Niemann","Feb 28, 1983",0,1,"60-day","tb",3e+06,"DNP"
"21","Juan Carlos Oviedo","Mar 15, 1982",0,1,"60-day","tb",NA,NA
"22","Brandon Morrow","Jul 26, 1984",0,1,"15-day","tor",8e+06,"SP"
"23","Brett Lawrie","Jan 18, 1990",0,1,"15-day","tor",5e+05,"3B"
"24","Darren Oliver","Oct 6, 1970",0,1,"15-day","tor",3e+06,"RP"
"25","Drew Hutchison","Aug 22, 1990",0,1,"60-day","tor",493200,"DNP"
"26","Dustin McGowan","Mar 24, 1982",0,1,"60-day","tor",1500000,"DNP"
"27","J.A. Happ","Oct 19, 1982",0,1,"60-day","tor",3700000,"SP"
"28","Jose Reyes","Jun 11, 1983",0,1,"60-day","tor",1e+07,"SS"
"29","Kyle Drabek","Dec 8, 1987",0,1,"60-day","tor",499500,"DNP"
"30","Luis Perez","Jan 20, 1985",0,1,"60-day","tor",5e+05,"DNP"
"31","Ramon Ortiz","May 23, 1973",0,1,"15-day","tor",NA,NA
"32","Sergio Santos","Jul 4, 1983",0,1,"60-day","tor",2750000,"RP"
"33","Austin Jackson","Feb 1, 1987",0,1,"15-day","det",3500000,"CF"
"34","Octavio Dotel","Nov 25, 1973",0,1,"15-day","det",3500000,"RP"
"35","Danny Duffy","Dec 21, 1988",0,1,"60-day","kc",505125,"DNP"
"36","Felipe Paulino","Oct 5, 1983",0,1,"60-day","kc",1750000,"DNP"
"37","Jarrod Dyson","Aug 15, 1984",0,1,"15-day","kc",NA,NA
"38","Darin Mastroianni","Aug 26, 1985",0,1,"60-day","min",5e+05,"LF"
"39","Tim Wood","Nov 16, 1982",0,1,"60-day","min",675000,"DNP"
"40","Trevor Plouffe","Jun 15, 1986",0,1,"15-day","min",520000,"3B"
"41","Wilkin Ramirez","Oct 25, 1985",0,1,"7-day","min",490000,"PH"
"42","Asdrubal Cabrera","Nov 13, 1985",0,1,"15-day","cle",6500000,"SS"
"43","Blake Wood","Aug 8, 1985",0,1,"60-day","cle",560000,"DNP"
"44","Brett Myers","Aug 17, 1980",0,1,"15-day","cle",7e+06,"SP"
"45","Chris Perez","Jul 1, 1985",0,1,"15-day","cle",7300000,"RP"
"46","Frank Herrmann","May 30, 1984",0,1,"60-day","cle",495500,"DNP"
"47","Josh Tomlin","Oct 19, 1984",0,1,"60-day","cle",501800,"DNP"
"48","Lou Marson","Jun 26, 1986",0,1,"15-day","cle",1e+06,"C"
"49","Dewayne Wise","Feb 24, 1978",0,1,"15-day","cws",7e+05,"CF"
"50","Gavin Floyd","Jan 27, 1983",0,1,"60-day","cws",9500000,"SP"
"51","Leyson Septimo","Jul 7, 1985",0,1,"60-day","cws",493000,"DNP"
"52","Alexi Ogando","Oct 5, 1983",0,1,"15-day","tex",506600,"SP"
"53","Colby Lewis","Aug 2, 1979",0,1,"15-day","tex",2e+06,"DNP"
"54","Ian Kinsler","Jun 22, 1982",0,1,"15-day","tex",1.3e+07,"2B"
"55","Joakim Soria","May 18, 1984",0,1,"15-day","tex",2e+06,"DNP"
"56","Justin Miller","Jun 13, 1987",0,1,"60-day","tex",NA,NA
"57","Matt Harrison","Sep 16, 1985",0,1,"60-day","tex",5200000,"SP"
"58","Neftali Feliz","May 2, 1988",0,1,"60-day","tex",2900000,"DNP"
"59","Brett Anderson","Feb 1, 1988",0,1,"15-day","oak",5750000,"SP"
"60","Fernando Rodriguez","Jun 18, 1984",0,1,"60-day","oak",492000,"DNP"
"61","Scott Sizemore","Jan 4, 1985",0,1,"60-day","oak",5e+05,"2B"
"62","Franklin Gutierrez","Feb 21, 1983",0,1,"15-day","sea",7312500,"CF"
"63","Josh Kinney","Mar 31, 1979",0,1,"60-day","sea",7e+05,"DNP"
"64","Justin Smoak","Dec 5, 1986",0,1,"15-day","sea",514000,"1B"
"65","Stephen Pryor","Jul 23, 1989",0,1,"60-day","sea",492200,"RP"
"66","Andrew Taylor","Aug 18, 1986",0,1,"60-day","ana",490000,"DNP"
"67","Peter Bourjos","Mar 31, 1987",0,1,"15-day","ana",512500,"CF"
"68","Ryan Madson","Aug 28, 1980",0,1,"15-day","ana",3500000,"DNP"
"69","Sean Burnett","Sep 17, 1982",0,1,"15-day","ana",3625000,"RP"
"70","Alex White","Aug 29, 1988",0,1,"60-day","hou",497100,"DNP"
"71","Edgar Gonzalez","Feb 23, 1983",0,1,"15-day","hou",NA,NA
"72","Justin Maxwell","Nov 6, 1983",0,1,"15-day","hou",492500,"CF"
"73","Blake DeWitt","Aug 20, 1985",0,1,"15-day","atl",NA,NA
"74","Brandon Beachy","Sep 3, 1986",0,1,"15-day","atl",510000,"DNP"
"75","Cristhian Martinez","Mar 6, 1982",0,1,"15-day","atl",749750,"RP"
"76","Eric O'Flaherty","Feb 5, 1985",0,1,"15-day","atl",4320000,"RP"
"77","Jonny Venters","Mar 20, 1985",0,1,"15-day","atl",1625000,"DNP"
"78","Luis Ayala","Jan 12, 1978",0,1,"15-day","atl",1e+06,"RP"
"79","Bryce Harper","Oct 16, 1992",0,1,"15-day","was",2e+06,"LF"
"80","Christian Garcia","Aug 24, 1985",0,1,"15-day","was",491000,"DNP"
"81","Danny Espinosa","Apr 25, 1987",0,1,"15-day","was",526250,"2B"
"82","Ross Detwiler","Mar 6, 1986",0,1,"15-day","was",2337500,"SP"
"83","Ryan Mattheus","Nov 10, 1983",0,1,"15-day","was",504500,"RP"
"84","Wilson Ramos","Aug 10, 1987",0,1,"15-day","was",501250,"C"
"85","Carlos Ruiz","Jan 22, 1979",0,1,"15-day","phi",5e+06,"C"
"86","Chase Utley","Dec 17, 1978",0,1,"15-day","phi",15285714,"2B"
"87","John Lannan","Sep 27, 1984",0,1,"15-day","phi",2500000,"SP"
"88","Roy Halladay","May 14, 1977",0,1,"60-day","phi",2e+07,"SP"
"89","Frank Francisco","Sep 11, 1979",0,1,"60-day","nym",6500000,"DNP"
"90","Jenrry Mejia","Oct 11, 1989",0,1,"60-day","nym",494925,"DNP"
"91","Jeurys Familia","Oct 10, 1989",0,1,"15-day","nym",491750,"RP"
"92","Johan Santana","Mar 13, 1979",0,1,"60-day","nym",25500000,"DNP"
"93","Ruben Tejada","Oct 27, 1989",0,1,"15-day","nym",514701,"SS"
"94","Scott Atchison","Mar 29, 1976",0,1,"15-day","nym",7e+05,"RP"
"95","Alex Sanabia","Sep 8, 1988",0,1,"15-day","mia",NA,NA
"96","Alfredo Silverio","May 6, 1987",0,1,"60-day","mia",490000,"DNP"
"97","Chris Valaika","Aug 14, 1985",0,1,"15-day","mia",495000,"SS"
"98","Donovan Solano","Dec 17, 1987",0,1,"15-day","mia",491500,"2B"
"99","Giancarlo Stanton","Nov 8, 1989",0,1,"15-day","mia",537000,"RF"
"100","Henderson Alvarez","Apr 18, 1990",0,1,"60-day","mia",507900,"DNP"
"101","Joe Mahoney","Feb 1, 1987",0,1,"15-day","mia",NA,NA
"102","Jose Ceda","Jan 28, 1987",0,1,"60-day","mia",490000,"DNP"
"103","Logan Morrison","Aug 25, 1987",0,1,"60-day","mia",491500,"DNP"
"104","Matt Diaz","Mar 3, 1978",0,1,"15-day","mia",NA,NA
"105","Nathan Eovaldi","Feb 13, 1990",0,1,"60-day","mia",502000,"DNP"
"106","Chris Carpenter","Apr 27, 1975",0,1,"60-day","stl",12500000,"DNP"
"107","Fernando Salas","May 30, 1985",0,1,"15-day","stl",512000,"RP"
"108","Jaime Garcia","Jul 8, 1986",0,1,"60-day","stl",5875000,"SP"
"109","Jake Westbrook","Sep 29, 1977",0,1,"15-day","stl",8750000,"SP"
"110","Jason Motte","Jun 22, 1982",0,1,"60-day","stl",4500000,"DNP"
"111","John Gast","Feb 16, 1989",0,1,"15-day","stl",NA,NA
"112","Rafael Furcal","Oct 24, 1977",0,1,"60-day","stl",7500000,"DNP"
"113","Chris Narveson","Dec 20, 1981",0,1,"15-day","mil",840000,"RP"
"114","Corey Hart","Mar 24, 1982",0,1,"60-day","mil",10333333,"DNP"
"115","Hiram Burgos","Aug 4, 1987",0,1,"15-day","mil",NA,NA
"116","Jim Henderson","Oct 21, 1982",0,1,"15-day","mil",492000,"RP"
"117","Mark Rogers","Jan 30, 1986",0,1,"60-day","mil",491000,"DNP"
"118","Mat Gamel","Jul 26, 1985",0,1,"60-day","mil",491000,"DNP"
"119","Taylor Green","Nov 2, 1986",0,1,"60-day","mil",491000,"DNP"
"120","Charlie Morton","Nov 12, 1983",0,1,"60-day","pit",2e+06,"DNP"
"121","James McDonald","Oct 19, 1984",0,1,"15-day","pit",3025000,"SP"
"122","Jeanmar Gomez","Feb 10, 1988",0,1,"15-day","pit",5e+05,"RP"
"123","Jeff Karstens","Sep 24, 1982",0,1,"60-day","pit",2500000,"DNP"
"124","John McDonald","Sep 24, 1974",0,1,"15-day","pit",1500000,"SS"
"125","Jose Contreras","Dec 6, 1971",0,1,"15-day","pit",NA,NA
"126","Jose Tabata","Aug 12, 1988",0,1,"15-day","pit",1166667,"RF"
"127","Phil Irwin","Feb 25, 1987",0,1,"60-day","pit",NA,NA
"128","Chris Heisey","Dec 14, 1984",0,1,"15-day","cin",1325000,"LF"
"129","Nick Masset","May 17, 1982",0,1,"60-day","cin",3100000,"DNP"
"130","Ryan Ludwick","Jul 13, 1978",0,1,"60-day","cin",2e+06,"LF"
"131","Sean Marshall","Aug 30, 1982",0,1,"15-day","cin",4500000,"RP"
"132","Arodys Vizcaino","Nov 13, 1990",0,1,"60-day","chc",491000,"DNP"
"133","Kyuji Fujikawa","Jul 21, 1980",0,1,"60-day","chc",4500000,"RP"
"134","Rafael Dolis","Jan 10, 1988",0,1,"15-day","chc",NA,NA
"135","Scott Baker","Sep 19, 1981",0,1,"60-day","chc",5500000,"DNP"
"136","Shawn Camp","Nov 18, 1975",0,1,"15-day","chc",1350000,"RP"
"137","Steve Clevenger","Apr 5, 1986",0,1,"60-day","chc",496000,"PH"
"138","Edwar Cabrera","Oct 20, 1987",0,1,"60-day","col",490000,"DNP"
"139","Jeff Francis","Jan 8, 1981",0,1,"15-day","col",1500000,"SP"
"140","Rafael Betancourt","Apr 29, 1975",0,1,"15-day","col",4250000,"RP"
"141","Aaron Hill","Mar 21, 1982",0,1,"15-day","ari",5500000,"2B"
"142","Adam Eaton","Dec 6, 1988",0,1,"15-day","ari",491000,"DNP"
"143","Brandon McCarthy","Jul 7, 1983",0,1,"15-day","ari",5250000,"SP"
"144","Daniel Hudson","Mar 9, 1987",0,1,"60-day","ari",518500,"DNP"
"145","Eric Chavez","Dec 7, 1977",0,1,"15-day","ari",3e+06,"3B"
"146","J.J. Putz","Feb 22, 1977",0,1,"15-day","ari",6500000,"RP"
"147","Eric Surkamp","Jul 16, 1987",0,1,"60-day","sf",490500,"DNP"
"148","Ryan Vogelsong","Jul 22, 1977",0,1,"15-day","sf",5e+06,"SP"
"149","Santiago Casilla","Jul 25, 1980",0,1,"15-day","sf",4500000,"RP"
"150","Tony Abreu","Nov 13, 1984",0,1,"60-day","sf",498000,"DNP"
"151","A.J. Ellis","Apr 9, 1981",0,1,"15-day","la",2e+06,"C"
"152","Carl Crawford","Aug 5, 1981",0,1,"15-day","la",20857143,"LF"
"153","Chad Billingsley","Jul 29, 1984",0,1,"60-day","la",1.1e+07,"SP"
"154","Chris Capuano","Aug 19, 1978",0,1,"15-day","la",6e+06,"SP"
"155","Josh Beckett","May 15, 1980",0,1,"15-day","la",1.7e+07,"SP"
"156","Matt Kemp","Sep 23, 1984",0,1,"15-day","la",20250000,"CF"
"157","Scott Elbert","Aug 13, 1985",0,1,"60-day","la",505000,"DNP"
"158","Shawn Tolleson","Jan 19, 1988",0,1,"15-day","la",NA,NA
"159","Cameron Maybin","Apr 4, 1987",0,1,"15-day","sd",3100000,"CF"
"160","Casey Kelly","Oct 4, 1989",0,1,"60-day","sd",491400,"DNP"
"161","Cory Luebke","Mar 4, 1985",0,1,"60-day","sd",1125000,"DNP"
"162","Huston Street","Aug 2, 1983",0,1,"15-day","sd",7e+06,"RP"
"163","Joe Wieland","Jan 21, 1990",0,1,"60-day","sd",494300,"DNP"
"164","Logan Forsythe","Jan 14, 1987",0,1,"60-day","sd",499000,"DNP"
